exec,RunTS,SLURM_JOB_ID,NODES,MPI_RANKS,OMP_THREADS,OMP_PLACES,OMP_PROC_BIND,SizeX,SizeY,GridX,GridY,Niter,Nsources,Periodic,Rank,Total,Init,Iter,Inject,MPIsetup,Wait,InnerUpdate,BorderUpdate,Update,CopyBuffers
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,4,1.540921,0.010938,1.529983,0.000011,0.009001,0.018866,1.428017,0.067461,1.495477,0.005651
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,17,1.595775,0.010717,1.585058,0.000052,0.011759,0.022900,1.476425,0.066742,1.543167,0.005536
01,2025-10-09T01:13:13Z,21351402,2,16,14,cores,close,8000,4000,4,4,500,4,Yes,1,1.566257,0.012637,1.553619,0.000074,0.007747,0.013589,1.462933,0.064505,1.527438,0.003143
01,2025-10-09T01:18:26Z,21351405,16,128,14,cores,close,16000,16000,16,8,500,4,Yes,16,1.561774,0.010989,1.550785,0.000062,0.010697,0.026169,1.439691,0.067788,1.507479,0.005477
01,2025-10-09T01:18:38Z,21351404,8,64,14,cores,close,16000,8000,8,8,500,4,Yes,49,1.558620,0.010627,1.547992,0.000043,0.008429,0.020932,1.450769,0.064350,1.515120,0.002994
