exec,RunTS,SLURM_JOB_ID,NODES,MPI_RANKS,OMP_THREADS,OMP_PLACES,OMP_PROC_BIND,SizeX,SizeY,GridX,GridY,Niter,Nsources,Periodic,Rank,Total,Init,Iter,Inject,MPIsetup,Wait,InnerUpdate,BorderUpdate,Update,CopyBuffers
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,113,1.386460,0.010290,1.376169,0.000043,0.008797,0.030223,1.265891,0.065583,1.331474,0.004630
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,48,2.745573,0.018697,2.726876,0.000011,0.010899,0.074066,2.560764,0.073538,2.634301,0.006095
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,17,5.392623,0.036186,5.356437,0.000098,0.022574,0.024491,5.207186,0.087086,5.294273,0.013731
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,1,10.574723,0.073146,10.501577,0.000093,0.024042,0.092582,10.270816,0.092300,10.363115,0.018125
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,0,20.960660,0.140392,20.820268,0.000093,0.039102,0.199407,20.423815,0.119424,20.543239,0.035567
