exec,RunTS,SLURM_JOB_ID,NODES,MPI_RANKS,OMP_THREADS,OMP_PLACES,OMP_PROC_BIND,SizeX,SizeY,GridX,GridY,Niter,Nsources,Periodic,Rank,Total,Init,Iter,Inject,MPIsetup,Wait,InnerUpdate,BorderUpdate,Update,CopyBuffers
01,2025-10-09T00:14:10Z,21351085,1,1,112,cores,close,10000,10000,1,1,750,4,Yes,0,3.556606,0.083203,3.473403,0.000396,0.000439,0.000752,3.186469,0.284745,3.471214,0.000126
01,2025-10-09T00:14:11Z,21351084,1,1,84,cores,close,10000,10000,1,1,750,4,Yes,0,4.658750,0.077002,4.581748,0.000393,0.000613,0.000809,4.328397,0.251022,4.579419,0.000062
01,2025-10-09T00:14:14Z,21351083,1,1,56,cores,close,10000,10000,1,1,750,4,Yes,0,6.919704,0.072702,6.847002,0.000337,0.000382,0.000627,6.652034,0.192871,6.844906,0.000266
01,2025-10-09T00:14:19Z,21351082,1,1,32,cores,close,10000,10000,1,1,750,4,Yes,0,12.090653,0.074923,12.015730,0.000283,0.000355,0.000455,11.739102,0.275107,12.014209,0.000118
01,2025-10-09T00:14:31Z,21351081,1,1,16,cores,close,10000,10000,1,1,750,4,Yes,0,23.994605,0.064204,23.930402,0.000270,0.000305,0.000456,23.684601,0.244161,23.928762,0.000075
01,2025-10-09T00:14:37Z,21351080,1,1,8,cores,close,10000,10000,1,1,750,4,Yes,0,30.138050,0.101610,30.036440,0.000231,0.000323,0.000328,29.888313,0.147030,30.035344,0.000049
01,2025-10-09T00:14:44Z,21351079,1,1,4,cores,close,10000,10000,1,1,750,4,Yes,0,38.844284,0.152585,38.691698,0.000222,0.000256,0.000333,38.537461,0.153130,38.690591,0.000048
01,2025-10-09T00:15:06Z,21351078,1,1,2,cores,close,10000,10000,1,1,750,4,Yes,0,60.959843,0.269679,60.690164,0.000212,0.000246,0.000288,60.509173,0.180101,60.689273,0.000049
01,2025-10-09T00:15:57Z,21351077,1,1,1,cores,close,10000,10000,1,1,750,4,Yes,0,112.491168,0.466313,112.024855,0.000237,0.000306,0.000244,111.788881,0.234899,112.023780,0.000054
